States,Electoral ,Party_Winner,Winner,Winner value
Alabama,9,Republican,Romney,0
Alaska,3,Republican,Romney,0
Arizona,11,Democratic ,Romney,0
Arkansas,6,Republican,Romney,0
California,55,Democratic ,Obama,1
Colorado,9,Democratic ,Obama,1
Connecticut,7,Democratic ,Obama,1
Delaware,3,Democratic ,Obama,1
District of Columbia,3,Democratic ,Obama,1
Florida,29,Republican,Obama,1
Georgia,16,Democratic ,Romney,0
Hawaii,4,Democratic ,Obama,1
Idaho,4,Republican,Romney,0
Illinois,20,Democratic ,Obama,1
Indiana,11,Republican,Romney,0
Iowa,6,Republican,Obama,1
Kansas,6,Republican,Romney,0
Kentucky,8,Republican,Romney,0
Louisiana,8,Republican,Romney,0
Maine,4,Democratic ,Obama,1
Maryland,10,Democratic ,Obama,1
Massachusetts,11,Democratic ,Obama,1
Michigan,16,Democratic ,Obama,1
Minnesota,10,Democratic ,Obama,1
Mississippi,6,Republican,Romney,0
Missouri,10,Republican,Romney,0
Montana,3,Republican,Romney,0
Nebraska,5,Republican,Romney,0
Nevada,6,Democratic ,Obama,1
New Hampshire,4,Democratic ,Obama,1
New Jersey,14,Democratic ,Obama,1
New Mexico,5,Democratic ,Obama,1
New York,29,Democratic ,Obama,1
North Carolina,15,Republican,Romney,0
North Dakota,3,Republican,Romney,0
Ohio,18,Republican,Obama,1
Oklahoma,7,Republican,Romney,0
Oregon,7,Democratic ,Obama,1
Pennsylvania,20,Democratic ,Obama,1
Rhode Island,4,Democratic ,Obama,1
South Carolina,9,Republican,Romney,0
South Dakota,3,Republican,Romney,0
Tennessee,11,Republican,Romney,0
Texas,38,Republican,Romney,0
Utah,6,Republican,Romney,0
Vermont,3,Democratic ,Obama,1
Virginia,13,Democratic ,Obama,1
Washington,12,Democratic ,Obama,1
West Virginia,5,Republican,Romney,0
Wisconsin,10,Democratic ,Obama,1
Wyoming,3,Republican,Romney,0
